# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:31:26 2026
# Radial	Intensity	Sigma
1.938900e+00	6.633673e+00	3.171523e-02
1.943371e+00	6.555620e+00	3.150492e-02
1.947842e+00	6.529813e+00	3.142122e-02
1.952313e+00	6.533147e+00	3.145290e-02
1.956785e+00	6.408532e+00	3.169114e-02
1.961256e+00	6.318108e+00	3.190641e-02
1.965727e+00	6.254686e+00	3.201639e-02
1.970199e+00	6.185785e+00	3.204211e-02
1.974670e+00	6.143726e+00	3.215578e-02
1.979141e+00	6.132820e+00	3.232152e-02
1.983612e+00	6.023136e+00	3.217869e-02
1.988084e+00	5.964168e+00	3.220847e-02
1.992555e+00	5.951940e+00	3.233629e-02
1.997026e+00	5.852280e+00	3.214062e-02
2.001497e+00	5.870567e+00	3.236962e-02
2.005969e+00	5.727891e+00	3.211438e-02
2.010440e+00	5.691377e+00	3.216754e-02
2.014911e+00	5.729997e+00	3.239107e-02
2.019382e+00	5.613955e+00	3.212739e-02
2.023854e+00	5.627162e+00	3.231388e-02
2.028325e+00	5.560412e+00	3.224735e-02
2.032796e+00	5.572861e+00	3.179024e-02
2.037267e+00	5.512004e+00	3.112705e-02
2.041739e+00	5.465679e+00	3.071486e-02
2.046210e+00	5.476596e+00	3.055103e-02
2.050681e+00	5.456382e+00	3.040524e-02
2.055152e+00	5.395315e+00	3.015259e-02
2.059624e+00	5.309002e+00	2.977424e-02
2.064095e+00	5.306859e+00	2.966003e-02
2.068566e+00	5.257552e+00	2.943694e-02
2.073037e+00	5.243543e+00	2.935584e-02
2.077509e+00	5.211125e+00	2.920043e-02
2.081980e+00	5.163280e+00	2.895577e-02
2.086451e+00	5.098604e+00	2.873420e-02
2.090922e+00	5.099065e+00	2.872622e-02
2.095394e+00	5.072430e+00	2.859307e-02
2.099865e+00	5.045864e+00	2.845112e-02
2.104336e+00	5.024313e+00	2.830940e-02
2.108807e+00	4.958456e+00	2.811167e-02
2.113279e+00	4.942690e+00	2.805429e-02
2.117750e+00	4.849058e+00	2.772932e-02
2.122221e+00	4.869066e+00	2.775687e-02
2.126692e+00	4.809350e+00	2.751996e-02
2.131164e+00	4.760340e+00	2.735777e-02
2.135635e+00	4.745539e+00	2.728331e-02
2.140106e+00	4.747775e+00	2.728133e-02
2.144577e+00	4.705539e+00	2.711444e-02
2.149049e+00	4.641895e+00	2.686971e-02
2.153520e+00	4.654184e+00	2.692575e-02
2.157991e+00	4.603477e+00	2.676747e-02
2.162462e+00	4.585780e+00	2.666438e-02
2.166934e+00	4.516482e+00	2.638995e-02
2.171405e+00	4.519764e+00	2.634409e-02
2.175876e+00	4.481049e+00	2.616413e-02
2.180347e+00	4.449350e+00	2.603395e-02
2.184819e+00	4.461698e+00	2.604799e-02
2.189290e+00	4.402063e+00	2.582904e-02
2.193761e+00	4.381009e+00	2.570036e-02
2.198232e+00	4.386801e+00	2.566805e-02
2.202704e+00	4.309524e+00	2.537898e-02
2.207175e+00	4.315545e+00	2.537365e-02
2.211646e+00	4.269319e+00	2.519374e-02
2.216117e+00	4.254593e+00	2.510339e-02
2.220589e+00	4.192163e+00	2.483053e-02
2.225060e+00	4.196172e+00	2.479985e-02
2.229531e+00	4.209223e+00	2.483667e-02
2.234003e+00	4.163546e+00	2.468748e-02
2.238474e+00	4.118659e+00	2.449238e-02
2.242945e+00	4.131830e+00	2.450310e-02
2.247416e+00	4.091581e+00	2.440034e-02
2.251888e+00	4.085719e+00	2.444429e-02
2.256359e+00	4.070556e+00	2.434668e-02
2.260830e+00	4.021116e+00	2.414019e-02
2.265301e+00	3.970934e+00	2.395357e-02
2.269773e+00	3.925358e+00	2.379715e-02
2.274244e+00	3.914566e+00	2.374231e-02
2.278715e+00	3.928421e+00	2.379812e-02
2.283186e+00	3.867846e+00	2.354680e-02
2.287658e+00	3.894905e+00	2.364085e-02
2.292129e+00	3.866014e+00	2.356008e-02
2.296600e+00	3.802793e+00	2.331661e-02
2.301071e+00	3.785017e+00	2.324876e-02
