# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
1.183258e+00	9.562074e+00	3.749973e-02
1.187729e+00	9.473589e+00	3.723857e-02
1.192200e+00	9.527032e+00	3.729230e-02
1.196672e+00	9.480942e+00	3.715643e-02
1.201143e+00	9.466311e+00	3.706790e-02
1.205614e+00	9.428959e+00	3.689077e-02
1.210085e+00	9.490029e+00	3.695934e-02
1.214557e+00	9.402565e+00	3.673538e-02
1.219028e+00	9.382248e+00	3.665795e-02
1.223499e+00	9.399948e+00	3.665841e-02
1.227970e+00	9.360509e+00	3.650114e-02
1.232442e+00	9.365899e+00	3.643204e-02
1.236913e+00	9.365521e+00	3.641415e-02
1.241384e+00	9.257358e+00	3.615891e-02
1.245855e+00	9.251481e+00	3.610762e-02
1.250327e+00	9.261097e+00	3.607785e-02
1.254798e+00	9.187304e+00	3.586266e-02
1.259269e+00	9.152476e+00	3.576440e-02
1.263740e+00	9.146641e+00	3.573592e-02
1.268212e+00	9.155448e+00	3.568067e-02
1.272683e+00	9.133600e+00	3.551450e-02
1.277154e+00	9.247480e+00	3.569511e-02
1.281625e+00	9.176598e+00	3.547953e-02
1.286097e+00	9.148052e+00	3.537240e-02
1.290568e+00	9.102254e+00	3.521048e-02
1.295039e+00	9.081827e+00	3.507445e-02
1.299510e+00	9.102895e+00	3.508607e-02
1.303982e+00	8.998194e+00	3.492163e-02
1.308453e+00	9.031969e+00	3.537500e-02
1.312924e+00	9.141040e+00	3.581770e-02
1.317395e+00	9.123731e+00	3.595896e-02
1.321867e+00	9.054249e+00	3.597785e-02
1.326338e+00	9.175909e+00	3.641166e-02
1.330809e+00	9.109171e+00	3.636572e-02
1.335280e+00	9.090621e+00	3.641610e-02
1.339752e+00	9.090939e+00	3.652304e-02
1.344223e+00	9.112673e+00	3.668205e-02
1.348694e+00	9.043300e+00	3.659898e-02
1.353165e+00	9.117948e+00	3.682017e-02
1.357637e+00	9.082789e+00	3.678691e-02
1.362108e+00	9.122652e+00	3.696802e-02
1.366579e+00	9.128454e+00	3.707714e-02
1.371050e+00	9.011721e+00	3.689535e-02
1.375522e+00	9.062651e+00	3.704564e-02
1.379993e+00	9.112353e+00	3.719451e-02
1.384464e+00	9.032325e+00	3.707739e-02
1.388935e+00	9.044658e+00	3.718575e-02
1.393407e+00	9.053114e+00	3.724323e-02
1.397878e+00	9.096343e+00	3.734528e-02
1.402349e+00	9.022043e+00	3.723803e-02
1.406820e+00	9.018624e+00	3.729131e-02
1.411292e+00	9.100778e+00	3.751566e-02
1.415763e+00	9.042126e+00	3.741468e-02
1.420234e+00	9.071175e+00	3.750626e-02
1.424705e+00	8.990739e+00	3.738139e-02
1.429177e+00	9.014761e+00	3.743778e-02
1.433648e+00	9.045619e+00	3.747089e-02
1.438119e+00	9.013106e+00	3.741775e-02
1.442591e+00	9.033309e+00	3.752580e-02
1.447062e+00	8.979785e+00	3.743357e-02
1.451533e+00	9.019827e+00	3.752073e-02
1.456004e+00	9.035224e+00	3.760000e-02
1.460476e+00	8.992815e+00	3.755761e-02
1.464947e+00	8.998451e+00	3.761586e-02
1.469418e+00	8.963198e+00	3.760496e-02
1.473889e+00	8.976633e+00	3.767908e-02
1.478361e+00	9.018828e+00	3.787571e-02
1.482832e+00	8.904628e+00	3.770190e-02
1.487303e+00	8.928384e+00	3.778123e-02
1.491774e+00	8.918684e+00	3.777327e-02
1.496246e+00	8.930980e+00	3.779292e-02
1.500717e+00	8.987369e+00	3.795643e-02
1.505188e+00	8.948779e+00	3.792236e-02
1.509659e+00	8.971120e+00	3.799609e-02
1.514131e+00	8.934582e+00	3.791444e-02
1.518602e+00	8.886935e+00	3.783842e-02
1.523073e+00	8.897664e+00	3.792688e-02
1.527544e+00	8.874560e+00	3.789068e-02
1.532016e+00	8.919361e+00	3.796956e-02
1.536487e+00	8.969685e+00	3.807532e-02
1.540958e+00	8.917005e+00	3.799575e-02
1.545429e+00	8.883898e+00	3.799037e-02
1.549901e+00	8.915912e+00	3.810123e-02
1.554372e+00	8.846224e+00	3.791624e-02
1.558843e+00	8.989700e+00	3.823583e-02
1.563314e+00	8.959138e+00	3.820615e-02
1.567786e+00	8.940378e+00	3.826191e-02
1.572257e+00	8.933878e+00	3.826182e-02
1.576728e+00	8.902673e+00	3.814187e-02
1.581199e+00	8.960957e+00	3.828971e-02
1.585671e+00	8.883048e+00	3.816998e-02
1.590142e+00	8.899459e+00	3.825666e-02
1.594613e+00	8.934536e+00	3.830295e-02
1.599084e+00	8.946715e+00	3.832687e-02
1.603556e+00	8.890402e+00	3.820945e-02
1.608027e+00	8.909910e+00	3.833503e-02
1.612498e+00	8.889475e+00	3.830240e-02
1.616969e+00	8.894421e+00	3.828232e-02
1.621441e+00	8.834334e+00	3.810841e-02
1.625912e+00	8.853308e+00	3.818841e-02
1.630383e+00	8.856969e+00	3.821466e-02
1.634854e+00	8.866614e+00	3.818046e-02
1.639326e+00	8.872184e+00	3.813089e-02
1.643797e+00	8.833185e+00	3.801902e-02
1.648268e+00	8.839170e+00	3.805195e-02
1.652739e+00	8.836573e+00	3.806792e-02
1.657211e+00	8.850239e+00	3.805489e-02
1.661682e+00	8.876099e+00	3.807490e-02
1.666153e+00	8.755082e+00	3.778161e-02
1.670624e+00	8.783253e+00	3.785694e-02
1.675096e+00	8.718946e+00	3.766420e-02
1.679567e+00	8.832759e+00	3.788391e-02
1.684038e+00	8.755910e+00	3.767961e-02
1.688509e+00	8.720674e+00	3.763299e-02
1.692981e+00	8.694322e+00	3.754436e-02
1.697452e+00	8.725553e+00	3.758199e-02
1.701923e+00	8.741279e+00	3.761496e-02
1.706395e+00	8.703801e+00	3.748553e-02
1.710866e+00	8.730188e+00	3.753450e-02
1.715337e+00	8.739559e+00	3.753871e-02
